timestamp_ms,dt_ms,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll_deg,pitch_deg,yaw_deg,gyro_bias_x,gyro_bias_y,gyro_bias_z,accel_bias_x,accel_bias_y,accel_bias_z,raw_accel_x,raw_accel_y,raw_accel_z,raw_gyro_x,raw_gyro_y,raw_gyro_z,raw_baro_alt,raw_tof,raw_flow_squal,raw_flow_dx,raw_flow_dy,dev_pos_x,dev_pos_y,dev_pos_z,dev_vel_x,dev_vel_y,dev_vel_z,dev_roll_deg,dev_pitch_deg,dev_yaw_deg
14859,11.0,0.002911,0.002354,-0.030268,0.004244,-0.003821,0.002241,-1.1072,-0.9951,-0.0050,-0.00203081,-0.00134173,-0.00184006,-0.00026455,0.00024962,0.06257079,-0.1480,0.1627,-9.7247,-0.001778,-0.001338,-0.002490,36.4237,0.0310,84,0,-1,0.003518,0.003517,-0.030476,0.001605,0.000258,-0.000343,-1.0414,-0.9352,0.1121
14870,11.0,0.002918,0.002361,-0.030079,0.004338,-0.003879,0.004219,-1.1070,-0.9949,-0.0056,-0.00203342,-0.00134382,-0.00184004,-0.00025704,0.00023916,0.06217412,-0.1488,0.1727,-9.7406,-0.001590,0.001474,-0.001152,36.4237,0.0300,87,0,0,0.003549,0.003524,-0.030478,0.001720,0.000137,-0.000201,-1.0412,-0.9349,0.1114
14881,11.0,0.002927,0.002368,-0.030032,0.004409,-0.003885,0.004357,-1.1055,-0.9927,-0.0063,-0.00204294,-0.00135481,-0.00183986,-0.00030951,0.00027379,0.06217548,-0.1459,0.1663,-9.7328,-0.002124,-0.001821,-0.002090,36.4237,0.0300,92,0,0,0.003557,0.003531,-0.030160,0.001711,0.000117,0.003384,-1.0407,-0.9337,0.1112
14892,11.0,0.002908,0.002375,-0.029947,0.004456,-0.003933,0.004987,-1.1051,-0.9925,-0.0061,-0.00204562,-0.00135841,-0.00183995,-0.00028695,0.00025730,0.06208514,-0.1555,0.1895,-9.7101,-0.002389,-0.005468,-0.001088,36.4475,0.0300,97,0,1,0.003548,0.003543,-0.030053,0.001697,0.000005,0.004093,-1.0402,-0.9355,0.1466
14903,11.0,0.002944,0.002381,-0.030487,0.004546,-0.003894,-0.001710,-1.1041,-0.9920,-0.0059,-0.00205327,-0.00136601,-0.00183969,-0.00030719,0.00024914,0.06351586,-0.1611,0.1784,-9.7302,-0.003253,-0.004448,0.000465,36.4475,0.0310,92,0,-1,0.003531,0.003548,-0.030011,0.001759,0.000194,0.004393,-1.0408,-0.9360,0.1454
14914,11.0,0.002925,0.002388,-0.030477,0.004562,-0.003946,-0.001146,-1.1038,-0.9926,-0.0051,-0.00205593,-0.00136967,-0.00183979,-0.00028375,0.00023233,0.06344581,-0.1445,0.1543,-9.7186,-0.001099,-0.001079,-0.000721,36.4475,0.0310,92,0,1,0.003563,0.003554,-0.030575,0.001778,0.000210,-0.002160,-1.0412,-0.9373,0.1460
14926,12.0,0.002939,0.002390,-0.030489,0.004593,-0.003895,-0.000897,-1.1031,-0.9925,-0.0049,-0.00206213,-0.00137821,-0.00183959,-0.00031707,0.00024258,0.06344642,-0.1521,0.1956,-9.7329,-0.002810,-0.001975,-0.002779,36.4475,0.0310,92,0,0,0.003553,0.003544,-0.030581,0.001826,0.000083,-0.001448,-1.0399,-0.9364,0.1459
14937,11.0,0.002947,0.002396,-0.030198,0.004665,-0.003921,0.002732,-1.1032,-0.9929,-0.0047,-0.00206462,-0.00138032,-0.00183958,-0.00031332,0.00023815,0.06273428,-0.1552,0.1699,-9.7277,-0.003761,-0.002470,-0.003450,36.4475,0.0300,92,0,0,0.003560,0.003550,-0.030548,0.001951,0.000273,-0.000857,-1.0392,-0.9364,0.1459
14948,11.0,0.002955,0.002403,-0.030166,0.004703,-0.003904,0.002943,-1.1021,-0.9914,-0.0056,-0.00207284,-0.00139000,-0.00183943,-0.00035521,0.00026442,0.06273532,-0.1484,0.1752,-9.7227,-0.002231,-0.000543,-0.004452,36.4819,0.0300,90,0,0,0.003574,0.003539,-0.030191,0.002073,0.000240,0.003036,-1.0406,-0.9353,0.1442
14959,11.0,0.002989,0.002435,-0.030109,0.004799,-0.003841,0.003420,-1.1022,-0.9912,-0.0067,-0.00207681,-0.00139096,-0.00183922,-0.00034929,0.00023893,0.06267671,-0.1711,0.1643,-9.7235,-0.003559,-0.000156,-0.002202,36.4819,0.0300,91,-1,-1,0.003581,0.003546,-0.030136,0.002102,0.000267,0.003547,-1.0406,-0.9340,0.1429
14970,11.0,0.002998,0.002470,-0.031115,0.004755,-0.003759,-0.008367,-1.1005,-0.9906,-0.0073,-0.00208726,-0.00139769,-0.00183925,-0.00032318,0.00021237,0.06513964,-0.1636,0.1801,-9.7210,0.001071,-0.005040,-0.001159,36.4819,0.0320,91,-1,0,0.003613,0.003576,-0.030099,0.002032,0.000251,0.003733,-1.0409,-0.9336,0.1425
14981,11.0,0.003034,0.002504,-0.031187,0.004811,-0.003663,-0.007956,-1.0999,-0.9908,-0.0077,-0.00209120,-0.00139854,-0.00183903,-0.00031780,0.00018670,0.06509385,-0.1597,0.1958,-9.7312,-0.003137,-0.001627,-0.001047,36.4819,0.0320,85,-1,-1,0.003628,0.003640,-0.031275,0.001995,0.000432,-0.008495,-1.0390,-0.9343,0.1430
14992,11.0,0.003044,0.002511,-0.031274,0.004726,-0.003607,-0.007755,-1.0990,-0.9905,-0.0075,-0.00209689,-0.00140222,-0.00183913,-0.00031401,0.00019566,0.06509387,-0.1685,0.1770,-9.7187,-0.002936,-0.000762,-0.002440,36.4819,0.0320,85,0,0,0.003661,0.003671,-0.031359,0.002026,0.000578,-0.008402,-1.0392,-0.9349,0.1153
15003,11.0,0.003025,0.002517,-0.031686,0.004634,-0.003552,-0.011358,-1.0986,-0.9905,-0.0074,-0.00209944,-0.00140608,-0.00183926,-0.00027672,0.00016474,0.06586381,-0.1522,0.1743,-9.7302,-0.002797,-0.001720,-0.003304,36.4819,0.0320,88,0,1,0.003652,0.003685,-0.031489,0.001831,0.000592,-0.007681,-1.0384,-0.9343,0.1130
15014,11.0,0.003009,0.002499,-0.031810,0.004518,-0.003555,-0.011186,-1.0984,-0.9894,-0.0074,-0.00210326,-0.00141230,-0.00183945,-0.00027540,0.00017939,0.06586397,-0.1670,0.1746,-9.7218,-0.002717,-0.000514,-0.001066,36.4819,0.0290,94,1,1,0.003636,0.003668,-0.029890,0.001806,0.000541,0.009989,-1.0374,-0.9343,0.1140
15025,11.0,0.003017,0.002505,-0.031908,0.004525,-0.003558,-0.010753,-1.0989,-0.9889,-0.0075,-0.00210560,-0.00141444,-0.00183946,-0.00026166,0.00016438,0.06580489,-0.1475,0.1812,-9.7420,-0.004690,-0.001571,-0.001583,36.4819,0.0290,87,0,0,0.003620,0.003652,-0.029789,0.001720,0.000509,0.010200,-1.0380,-0.9334,0.1143
15036,11.0,0.003053,0.002512,-0.032006,0.004578,-0.003493,-0.010452,-1.0988,-0.9880,-0.0081,-0.00211053,-0.00141914,-0.00183922,-0.00028960,0.00017046,0.06575870,-0.1654,0.1935,-9.7455,-0.003098,-0.001122,-0.003482,36.4819,0.0320,87,0,-1,0.003627,0.003658,-0.029687,0.001836,0.000610,0.010289,-1.0389,-0.9335,0.1134
